index,Date,Price,Open,High,Low,Volume,Chg%,NIFTY
240,01-Dec-20,73.482,74.025,74.025,73.445,6.80K,-0.69%,13558.15
241,02-Dec-20,73.76,73.5,73.836,73.402,5.98K,0.38%,13567.85
242,03-Dec-20,73.86,73.695,73.988,73.67,5.89K,0.14%,13682.70
243,04-Dec-20,73.757,73.865,73.865,73.647,4.18K,-0.14%,13740.70
244,07-Dec-20,73.76,73.805,73.977,73.69,4.61K,0.00%,13760.55
245,08-Dec-20,73.72,73.81,73.846,73.511,4.61K,-0.05%,13328.40
246,09-Dec-20,73.72,73.712,73.73,73.515,2.75K,0.00%,13466.30
247,10-Dec-20,73.74,73.73,73.782,73.625,2.50K,0.03%,13601.10
248,11-Dec-20,73.736,73.73,73.817,73.535,2.50K,-0.01%,13749.25
249,14-Dec-20,73.63,73.738,73.738,73.45,2.48K,-0.14%,13873.20
250,15-Dec-20,73.556,73.674,73.685,73.542,2.32K,-0.10%,13932.60
251,16-Dec-20,73.63,73.532,73.66,73.459,2.61K,0.10%,13981.95
252,17-Dec-20,73.52,73.6,73.635,73.372,2.82K,-0.15%,13981.75
253,18-Dec-20,73.57,73.53,73.588,73.475,2.16K,0.07%,14018.50
254,21-Dec-20,74.026,73.575,74.104,73.575,1.08K,0.62%,14132.90
255,22-Dec-20,73.851,73.94,73.95,73.802,1.29K,-0.24%,14199.50
256,23-Dec-20,73.77,73.905,73.905,73.654,1.26K,-0.11%,14146.25
257,24-Dec-20,73.54,73.8,73.84,73.506,1.00K,-0.31%,14137.35
258,25-Dec-20,73.558,73.558,73.558,73.558,0,0.02%,14347.25
259,28-Dec-20,73.546,73.558,73.613,73.457,0.63K,-0.02%,14484.75
260,29-Dec-20,73.39,73.545,73.545,73.313,1.90K,-0.21%,14563.45
261,30-Dec-20,73.127,73.37,73.398,73.135,4.04K,-0.36%,14564.85
262,31-Dec-20,73.036,73.195,73.243,72.951,4.13K,-0.12%,14595.60
263,01-Jan-21,73.12,73.1,73.128,73.022,0.48K,0.11%,14433.70
264,04-Jan-21,73.07,73.106,73.134,72.83,6.06K,-0.07%,14281.30
265,05-Jan-21,73.12,73.08,73.29,72.98,6.88K,0.07%,14521.15
266,06-Jan-21,73.118,73.168,73.229,73.046,6.05K,0.00%,14644.70
267,07-Jan-21,73.42,73.161,73.482,73.063,6.24K,0.41%,14590.35
268,08-Jan-21,73.33,73.455,73.509,73.201,6.82K,-0.12%,14371.90
269,11-Jan-21,73.455,73.45,73.6,73.357,11.06K,0.17%,14238.90
270,12-Jan-21,73.22,73.494,73.494,73.2,6.41K,-0.32%,13967.50
271,13-Jan-21,73.16,73.19,73.238,73.061,6.96K,-0.08%,13817.55
272,14-Jan-21,73.07,73.135,73.239,72.923,7.09K,-0.12%,13634.60
273,15-Jan-21,73.12,73.089,73.211,72.99,5.80K,0.07%,14281.20
274,18-Jan-21,73.181,73.15,73.333,73.136,6.11K,0.08%,14647.85
275,19-Jan-21,73.19,73.177,73.311,73.113,5.87K,0.01%,14789.95
276,20-Jan-21,72.91,73.192,73.205,72.896,6.61K,-0.38%,14895.65
277,21-Jan-21,72.96,72.916,73.061,72.894,6.07K,0.07%,14924.25
278,22-Jan-21,72.98,72.965,73.111,72.92,6.16K,0.03%,15115.80
279,25-Jan-21,72.96,72.977,73.026,72.878,6.14K,-0.03%,15109.30
280,26-Jan-21,72.91,72.958,73.144,72.854,5.36K,-0.07%,15106.50
281,27-Jan-21,73.06,72.92,73.101,72.785,12.52K,0.21%,15173.30
282,28-Jan-21,72.931,73.022,73.186,72.893,15.94K,-0.18%,15163.30
283,29-Jan-21,72.877,72.93,73.037,72.814,5.74K,-0.07%,15314.70
284,01-Feb-21,73.11,72.918,73.195,72.809,7.55K,0.32%,15313.45
285,02-Feb-21,72.899,73.03,73.104,72.897,7.00K,-0.29%,15208.90
286,03-Feb-21,72.81,72.95,73.018,72.81,6.35K,-0.12%,15118.95
287,04-Feb-21,72.95,72.823,73.003,72.823,5.86K,0.19%,14981.75
